section,period,dimension,count,year_built_matches
monthly_new,2001-05,,1,
monthly_new,2001-06,,1,
monthly_new,2001-11,,1,
monthly_new,2002-03,,3,
monthly_new,2002-04,,1,
monthly_new,2002-06,,3,
monthly_new,2002-07,,2,
monthly_new,2002-09,,2,
monthly_new,2002-10,,2,
monthly_new,2002-11,,2,
monthly_new,2002-12,,2,
monthly_new,2003-01,,4,
monthly_new,2003-02,,3,
monthly_new,2003-03,,2,
monthly_new,2003-04,,1,
monthly_new,2003-05,,4,
monthly_new,2003-06,,3,
monthly_new,2003-07,,2,
monthly_new,2003-08,,1,
monthly_new,2003-09,,2,
monthly_new,2003-10,,2,
monthly_new,2003-11,,3,
monthly_new,2003-12,,3,
monthly_new,2004-01,,1,
monthly_new,2004-02,,2,
monthly_new,2004-03,,5,
monthly_new,2004-04,,2,
monthly_new,2004-06,,3,
monthly_new,2004-07,,2,
monthly_new,2004-08,,1,
monthly_new,2004-09,,5,
monthly_new,2004-10,,1,
monthly_new,2004-11,,4,
monthly_new,2004-12,,3,
monthly_new,2005-01,,6,
monthly_new,2005-02,,2,
monthly_new,2005-03,,4,
monthly_new,2005-04,,3,
monthly_new,2005-05,,2,
monthly_new,2005-06,,3,
monthly_new,2005-08,,1,
monthly_new,2005-10,,1,
monthly_new,2005-11,,1,
monthly_new,2005-12,,3,
monthly_new,2006-01,,2,
monthly_new,2006-02,,2,
monthly_new,2006-03,,1,
monthly_new,2006-04,,4,
monthly_new,2006-05,,6,
monthly_new,2006-06,,4,
monthly_new,2006-07,,4,
monthly_new,2006-08,,4,
monthly_new,2006-10,,1,
monthly_new,2006-11,,3,
monthly_new,2006-12,,2,
monthly_new,2007-01,,4,
monthly_new,2007-02,,6,
monthly_new,2007-03,,1,
monthly_new,2007-04,,3,
monthly_new,2007-05,,4,
monthly_new,2007-06,,6,
monthly_new,2007-08,,2,
monthly_new,2007-09,,3,
monthly_new,2007-10,,2,
monthly_new,2007-11,,4,
