source_site,model,year,asking_price,registration,serial,location,listing_date,days_on_market,dealer,url
ASO,SF50,2016,"$1,789,900",N82WF,0007,CA,,,Aerista,https://www.aso.com/listings/spec/ViewAd.aspx?id=200170
ASO,SF50,2017,"$1,774,900",N535JP,0028,MN,,,Aerista,https://www.aso.com/listings/spec/ViewAd.aspx?id=201063
ASO,SF50,2019,"$2,499,900",N204HS,0099,CT,,,Lone Mountain Aircr...,https://www.aso.com/listings/spec/ViewAd.aspx?id=199780
ASO,SF50,2019,"$2,175,000",T7-HGW,0106,Business Aviation S...,,,2020 Cirrus Vision SF50 G2,https://www.aso.com/listings/spec/ViewAd.aspx?id=202140
ASO,SF50,2020,"$2,595,000",N102JL,0192,WV,,,Lone Mountain Aircr...,https://www.aso.com/listings/spec/ViewAd.aspx?id=202108
ASO,SF50,2020,"$2,799,000",N255M,0219,AZ,,,Lone Mountain Aircr...,https://www.aso.com/listings/spec/ViewAd.aspx?id=201257
ASO,SF50,2020,"$2,600,000",N33PK,0206,TX,,,Lone Mountain Aircr...,https://www.aso.com/listings/spec/ViewAd.aspx?id=201102
ASO,SF50,2021,,,0314,Jet HQ,,,2023 Cirrus Vision SF50 G2+,https://www.aso.com/listings/spec/ViewAd.aspx?id=202456
ASO,SF50,2021,"$2,849,900",N63KL,0311,MD,,,Lone Mountain Aircr...,https://www.aso.com/listings/spec/ViewAd.aspx?id=202106
ASO,SF50,2021,"$2,949,900",N73SG,0284,FL,,,Aerista,https://www.aso.com/listings/spec/ViewAd.aspx?id=201309
ASO,SF50,2022,"$3,199,000",N519AB,0381,MN,,,Aerista,https://www.aso.com/listings/spec/ViewAd.aspx?id=202159
ASO,SF50,2022,"$3,499,000",N71AB,0341,MN,,,Aerista,https://www.aso.com/listings/spec/ViewAd.aspx?id=201105
ASO,SF50,2023,,N3EE,0427,MT,,,Tern Jet Sales,https://www.aso.com/listings/spec/ViewAd.aspx?id=201862
ASO,SF50,2024,"$3,299,900",T7-VSN,0529,Aerista,,,2024 Cirrus Vision SF50 - G2+ ...,https://www.aso.com/listings/spec/ViewAd.aspx?id=202154
ASO,SF50,2025,"$3,599,900",N520TD,0636,VA,,,Aerista,https://www.aso.com/listings/spec/ViewAd.aspx?id=201767
ASO,SR20,2000,"$189,900",N170CD,1076,WI,,,Lone Mountain Aircr...,https://www.aso.com/listings/spec/ViewAd.aspx?id=201992
ASO,SR20,2002,,,,LA,,,Private Cabin Jets,https://www.aso.com/listings/spec/ViewAd.aspx?id=199706
ASO,SR20,2002,"$239,898",N100YY,1183,Aerista,,,2002 Cirrus SR20 G1,https://www.aso.com/listings/spec/ViewAd.aspx?id=201623
ASO,SR20,2002,"$244,900",N501DF,1173,CO,,,Aerista,https://www.aso.com/listings/spec/ViewAd.aspx?id=201170
ASO,SR20,2004,"$230,000",N52915,1411,SC,,,Lone Mountain Aircr...,https://www.aso.com/listings/spec/ViewAd.aspx?id=202315
ASO,SR20,2006,"$229,900",N14WK,1758,MN,,,Aerista,https://www.aso.com/listings/spec/ViewAd.aspx?id=198888
ASO,SR20,2007,"$289,900",N299SR,1886,SC,,,Aerista,https://www.aso.com/listings/spec/ViewAd.aspx?id=201622
ASO,SR20,2007,"$174,900",N841T,1806,FL,,,Aerista,https://www.aso.com/listings/spec/ViewAd.aspx?id=202427
ASO,SR20,2007,"$259,000",N878EA,1808,CA,,,Lone Mountain Aircr...,https://www.aso.com/listings/spec/ViewAd.aspx?id=200136
ASO,SR20,2008,"$309,900",N166PG,1948,FL,,,Lone Mountain Aircr...,https://www.aso.com/listings/spec/ViewAd.aspx?id=201776
ASO,SR20,2012,"$349,900",N667MT,2194,MO,,,Aerista,https://www.aso.com/listings/spec/ViewAd.aspx?id=202210
ASO,SR20,2012,"$284,900",N881PF,2155,OH,,,Lone Mountain Aircr...,https://www.aso.com/listings/spec/ViewAd.aspx?id=201186
ASO,SR20,2013,"$334,900",N18GK,2225,MN,,,Aerista,https://www.aso.com/listings/spec/ViewAd.aspx?id=202111
ASO,SR20,2014,"$320,000",N5886M,2248,IL,,,Lone Mountain Aircr...,https://www.aso.com/listings/spec/ViewAd.aspx?id=202311
ASO,SR20,2014,"$359,900",N763CA,2251,SC,,,Aerista,https://www.aso.com/listings/spec/ViewAd.aspx?id=201048
ASO,SR20,2014,"$389,900",N975TK,2264,MD,,,Lone Mountain Aircr...,https://www.aso.com/listings/spec/ViewAd.aspx?id=201756
ASO,SR20,2015,"$379,900",N312AR,2284,TN,,,Aerista,https://www.aso.com/listings/spec/ViewAd.aspx?id=200585
